as400,当今世界上最流行的中小型、多用户商业计算机系统
t-sql,transact sql
informatica,数据管理工具
teradata,数据仓库软件
lucene.net,.net平台下的搜索引擎
mysql,常用的关系型数据库
aws,亚马逊云服务
automation anywhere,一款针对商业以及IT的任务自动执行工具
c#,.net平台的重要开发语言
carbondata,apache carbondata是一种新的大数据文件格式，使用先进的柱状存储、索引、压缩和编码技术，实现更快的交互式查询，从而提高计算效率，这有助于提高pb级数据的查询速度。
olingo,apache olingo是一个实现开放数据协议（odata）的java库
team leader,团队leader
tomcat,java平台常用的web服务器
hyper-v,微软的一款虚拟化产品，是微软第一个采用类似Vmware ESXi和Citrix Xen的基于hypervisor的技术。
实时系统,指系统能及时响应外部事件的请求，在规定的时间内完成对该事件的处理，并控制所有实时任务协调一致的运行。
excalibur,apache excalibur是apache avalon的前身，它托管avalon框架、java容器框架、excalibur和fortress控制反转容器以及一个丰富的组件库。excalibur代码为apache james和cocoon以及许多其他开源和商业项目提供了支持。
linkedin norbert,集群管理器;
citrix,涉及云计算虚拟化、虚拟桌面和远程接入技术领域的高科技企业
fortress,apache fortress是一个基于标准的授权系统，用java编写，它使用ldap后端提供基于角色的访问控制、委托管理和密码策略服务。
ux,User experience的缩写
backbonejs,为复杂Javascript应用程序提供模型(models)、集合(collections)、视图(views)的结构。其中模型用于绑定键值数据和自定义事件；集合附有可枚举函数的丰富API； 视图可以声明事件处理函数，并通过RESTful JSON接口连接到应用程序
sling,一个自然语言框架语义解析器
servlet,
finagle,jvm的异步网络堆栈。
推荐算法,利用用户的一些行为，通过一些数学算法，推测出用户可能喜欢的东西。
plot.ly,易于使用的web服务，它允许快速创建从热图到直方图等复杂的图表，使用图表plotly的在线电子表格上传数据进行创建和设计;
禅道,一款国产项目管理软件
cosbench,一款性能测试工具
bluiecoat,上网行为管理系统
ba,business analysis
elasticsearch,基于lucene的搜索和分析引擎
theano,深度学习框架之一
线程池,一种多线程处理形式，处理过程中将任务添加到队列，然后在创建线程后自动启动这些任务。
insurance,
测试,
系统管理,
linux,一种操作系统
junit,java平台的单元测试工具
rhce,Red Hat Certified Engineer（红帽认证工程师）
convnetjs,javascript中的机器学习，在浏览器中训练卷积神经网络(或普通网络);
thrift,构建二进制协议的框架;
vant,基于vue的移动组件库
react,Red Hat Certified Engineer，红帽认证工程师
airflow,工作流自动化和调度，可用于编写和管理数据管道
brpc,brpc是一个用于构建可靠和高性能服务的工业级rpc框架。
vmware,使用针对现代应用、多云、数字化工作空间、安全和网络的 VMware 解决方案构建数字化基础，以在任何设备和任何云环境中运行任何应用。
asp.net,基于.NET Framework的Web开发平台
函数式编程,种编程方式，它将电脑运算视为函数的计算。函数编程语言最重要的基础是λ演算（lambda calculus），而且λ演算的函数可以接受函数当作输入（参数）和输出（返回值）。
taskflow,UNIT推出的新一代对话管理技术，开发者可通过简洁直观的图形化配置(后续版本升级提供，目前通过配置文件完成配置)，高效定制属于自己的对话管理能力。
abs,Asset-backed Securities的缩写，即信贷资产支持证券。
hive,基于Hadoop的一个数据仓库工具，用来进行数据提取、转化、加载，这是一种可以存储、查询和分析存储在Hadoop中的大规模数据的机制。h
chukwa,一个用于监视大型分布式系统的开源数据收集系统。chukwa构建在hdfs和map/reduce框架之上，继承了hadoop的可扩展性和健壮性。chukwa还包括一个灵活而强大的工具包，用于显示、监视和分析结果，以最佳地利用收集到的数据。
flume,Cloudera提供的一个高可用的，高可靠的，分布式的海量日志采集、聚合和传输的系统，Flume支持在日志系统中定制各类数据发送方，用于收集数据；同时，Flume提供对数据进行简单处理，并写到各种数据接受方（可定制）的能力
caffe,全称Convolutional Architecture for Fast Feature Embedding）是一个兼具表达性、速度和思维模块化的深度学习框架
自动化测试,
时间管理,
scikit-learn,scikit-learn为python中的机器学习库;
架构,
lily hbase indexer,快速、轻松地搜索存储在hbase的任何内容;
acs,思科安全访问控制服务器（cisco secure access control server）
数据可视化,
cordova,是一个使用标准web技术(html、css和javascript)创建跨平台应用的工具
js,JavaScript
spindle,使用scala、spark和parquet处理的下一代web分析;
luci,一种固件脚本语言
nuttx,一个实时嵌入式操作系统（embedded rtos）
v,一种编程语言
存储过程,（Stored Procedure）是在大型数据库系统中，一组为了完成特定功能的SQL 语句集，它存储在数据库中，一次编译后永久有效
mariadb,一种关系型数据库，类似mysql
chartist.js,另一个开源html5图表可视化效果;
silktest,一款用于企业级应用进行功能测试的产品。
postfix,是Wietse Venema在IBM的GPL协议之下开发的MTA（邮件传输代理）软件。
pascal,一种过程式编程语言
excel/vba,
esxi,为运行虚拟机、最大限度降低配置要求和简化部署而设计。
ios,苹果的移动操作系统
phantomjs,一个基于webkit的JavaScript API。它使用QtWebKit作为它核心浏览器的功能，使用webkit来编译解释执行JavaScript代码。
httpclient,
kafka,一款消息队列组件，银行用得比较多
全网测试,指业务涉及普通投资者，面向全体会员进行的系统测试。
android,谷歌的移动操作系统
风险管理,
felix,osgi框架实现及相关技术。
linkedin cleo,为一个一个灵活的软件库，使得局部、无序、实时预输入的搜索实现了快速发展;
webservice,是基于网络的、分布式的模块化组件，它执行特定的任务，遵守具体的技术规范，这些规范使得Web Service能与其他兼容的组件进行交互操作。
ccna,此证书标志着具备安装、配置、运行中型路由和交换网络，并进行故障排除的能力。
mesos,Apache下的开源分布式资源管理框架，它被称为是分布式系统的内核。
pentaho,商业智能平台;
数据库,
empire-db,apache empire-db是为那些在制定查询和dml - statement时努力获得完全sql自由的开发人员而设计的——而不必使用字符串字面量——并且还希望能够控制语句的执行时间和方式。与其他方法不同，empire-db不依赖java注释或映射文件来构建查询，而是使用易于访问和扩展的java对象模型。对于数据访问和数据交换，开发人员可以在传统java bean和record和datalistentry类提供的更复杂的动态接口之间进行选择。empire-db是独立于dbms供应商的，为oracle， microsoft sqlserver， postgresql， mysql， hsqldb， derby， h2等提供处理程序。
puma benchmarking,mapreduce应用的基准测试套件;
memcached,memcache的分支;
chartd,只带img标签的反应灵敏、兼容retina的图表;
grafana,石墨仪表板前端、编辑器和图形组合器;
lua,一个小巧的脚本语言。
requiredjs,一个JavaScript模块加载器。
servicemix,一个建立在jbi (jsr 208)语法规则和apis上的开源esb(enterprise service bus:企业服务总线)
vmsphere,vmware sphere。可靠的虚拟化平台。
中型机,
vsam,Virtual storage access method 虚拟存储访问方法
uat,(User Acceptance Test)，也就是用户验收测试，或用户可接受测试，系统开发生命周期方法论的一个阶段，这时相关的用户或独立测试人员根据测试计划和结果对系统进行测试和接收。
dapr,distributed application runtime
selinux,(Security-Enhanced Linux) 是美国国家安全局（NSA）对于强制访问控制的实现，是 Linux历史上最杰出的新安全子系统。
easytrieve,一种比cobol语言更古老的语言，语法与cobol类似。easytrieve技术也是主机项目开发常用到的技术
bootstrap,Twitter推出的一个用于前端开发的开源工具包。
ssh,SSH是一种网络协议，用于计算机之间的加密登录。
产品研发,
indexr,一个专注于大数据实时分析的分布式列式数据库，它基于HDFS，能快速分析海量结构化数据，支持实时导入并且查询秒级延迟，特别适合ad-hoc场景下的OLAP查询。
full stack,全栈开发，一般包括前端和后端的开发技能
isis,apache isis是一个用java快速开发域驱动应用程序的框架。在实体、域服务和存储库中编写业务逻辑，框架动态地(在运行时)生成该域模型的表示形式，作为webapp或restful api。用于原型或生产。
groovy,一种基于JVM（Java虚拟机）的敏捷开发语言，它结合了Python、Ruby和Smalltalk的许多强大的特性，Groovy 代码能够与 Java 代码很好地结合，也能用于扩展现有代码。
防火墙,
sikuli,MIT的研究人员设计了一种新颖的图形脚本语言Sikuli，计算机用户只须有最基本的编程技能（比如会写printhello world），他不需要去写出一行行代码，而是用屏幕截图的方式，用截出来的图形元素组合出神奇的程序。
